Practice Area,Section,Item No,Type of Work,Scope of Work,Estimation Fees,Remarks
Civil,A. Advisory and Pre Action Matters,1,Case Merits Review,Review facts documents and legal position before action,RM X,000 - RM X,000,
Civil,A. Advisory and Pre Action Matters,2,Strategic Legal Audit,Identify legal risks exposure and options for resolution,RM X,000 - RM X,000,
Civil,A. Advisory and Pre Action Matters,3,Settlement Strategy Advisory,Advise negotiation strategy and best outcome scenarios,RM X,000 - RM X,000,
Civil,A. Advisory and Pre Action Matters,4,Demand Letter and Reply,Prepare and respond to letters of demand and legal notices,RM X,000 - RM X,000,
Civil,A. Advisory and Pre Action Matters,5,Due Diligence on Documents,Review agreements invoices correspondence and evidence bundle,RM X,000 - RM X,000,
Civil,A. Advisory and Pre Action Matters,6,Mediation and Negotiation Support,Represent and support settlement discussions,RM X,000 - RM X,000,
Civil,A. Advisory and Pre Action Matters,7,Court Process Planning,Prepare timeline and procedural roadmap from filing to disposal,RM X,000 - RM X,000,
Civil,A. Advisory and Pre Action Matters,8,Legal Correspondence Templates,Provide templates for notices affidavits statements and letters,RM X,000 - RM X,000,
Civil,A. Advisory and Pre Action Matters,9,Internal Rules and Claim SOP,Build claim handling SOP and internal legal escalation workflow,RM X,000 - RM X,000,
Civil,B. Preparation of Agreements and Civil Documents,1,Settlement Agreement,Drafting reviewing negotiating and finalizing agreement,RM X,000 - RM X,000,
Civil,B. Preparation of Agreements and Civil Documents,2,Collaboration Agreement,Drafting reviewing negotiating and finalizing agreement,RM X,000 - RM X,000,
Civil,B. Preparation of Agreements and Civil Documents,3,Service Agreement,Drafting reviewing negotiating and finalizing agreement,RM X,000 - RM X,000,
Civil,B. Preparation of Agreements and Civil Documents,4,Employment Related Settlement Agreement,Drafting reviewing negotiating and finalizing agreement,RM X,000 - RM X,000,
Civil,B. Preparation of Agreements and Civil Documents,5,Consumer or Supplier Agreement,Drafting reviewing negotiating and finalizing agreement,RM X,000 - RM X,000,
Civil,B. Preparation of Agreements and Civil Documents,6,Loan or Payment Arrangement Agreement,Drafting reviewing negotiating and finalizing agreement,RM X,000 - RM X,000,
Civil,B. Preparation of Agreements and Civil Documents,7,Joint Venture or Cooperation Terms,Drafting reviewing negotiating and finalizing agreement,RM X,000 - RM X,000,
Civil,B. Preparation of Agreements and Civil Documents,8,Licensing or Usage Agreement,Drafting reviewing negotiating and finalizing agreement,RM X,000 - RM X,000,
Civil,B. Preparation of Agreements and Civil Documents,9,Memorandum of Understanding,Drafting reviewing negotiating and finalizing agreement,RM X,000 - RM X,000,
Civil,B. Preparation of Agreements and Civil Documents,10,Memorandum of Agreement,Drafting reviewing negotiating and finalizing agreement,RM X,000 - RM X,000,
Civil,B. Preparation of Agreements and Civil Documents,11,Non Disclosure Agreement,Drafting reviewing negotiating and finalizing agreement,RM X,000 - RM X,000,
Civil,B. Preparation of Agreements and Civil Documents,12,Partnership Agreement,Drafting reviewing negotiating and finalizing agreement,RM X,000 - RM X,000,
Civil,B. Preparation of Agreements and Civil Documents,13,Property Management Agreement,Drafting reviewing negotiating and finalizing agreement,RM X,000 - RM X,000,
Civil,B. Preparation of Agreements and Civil Documents,14,Sale and Purchase Agreement,Drafting reviewing negotiating and finalizing agreement,RM X,000 - RM X,000,Subject to SRO if applicable
Civil,B. Preparation of Agreements and Civil Documents,15,Shareholder or Ownership Agreement,Drafting reviewing negotiating and finalizing agreement,RM X,000 - RM X,000,
Civil,B. Preparation of Agreements and Civil Documents,16,Sponsorship Agreement,Drafting reviewing negotiating and finalizing agreement,RM X,000 - RM X,000,
Civil,B. Preparation of Agreements and Civil Documents,17,Tenancy and Lease Agreement,Drafting reviewing negotiating and finalizing agreement,RM X,000 - RM X,000,
Civil,B. Preparation of Agreements and Civil Documents,18,Warranty and Indemnity Agreement,Drafting reviewing negotiating and finalizing agreement,RM X,000 - RM X,000,
Civil,C. Civil Legal Advisory,1,Ad hoc Basis,Hourly Rate Partners RMX00.00 Senior Associates RMXXX.00 Associates RMXXX.00,Hourly,
Civil,C. Civil Legal Advisory,2,Elite Retainer Package,One dedicated associate support advice pre emptive measures correspondence rebate up to 40 percent liaison letter of demand legal health check,RMXXXXXXX.00 per month,
Civil,C. Civil Legal Advisory,3,Premium Retainer Package,One dedicated associate support advice pre emptive measures correspondence rebate up to 30 percent liaison letter of demand legal health check,RMXXXXXXX.00 per month,
Civil,C. Civil Legal Advisory,4,Essential Retainer Package,One dedicated associate support advice correspondence rebate up to 25 percent legal health check,RMXXXXX.00 per month,
Civil,C. Civil Legal Advisory,5,Standard Retainer Package,General support legal advice rebate up to 15 percent for legal documents and agreements,RMXXX.00 per month,
